Train for 937 steps, validate for 117 steps
 18/937 [..............................] - ETA: 21:01 - loss: 0.5255 - accuracy: 0.7437For batch 18, loss is  0.3635.
 19/937 [..............................] - ETA: 20:35 - loss: 0.5170 - accuracy: 0.7498For batch 19, loss is  0.3109.
 20/937 [..............................] - ETA: 20:13 - loss: 0.5067 - accuracy: 0.7582For batch 20, loss is  0.3052.
 21/937 [..............................] - ETA: 19:52 - loss: 0.4971 - accuracy: 0.7656For batch 21, loss is  0.2967.
 22/937 [..............................] - ETA: 19:33 - loss: 0.4880 - accuracy: 0.7722For batch 22, loss is  0.3014.
 23/937 [..............................] - ETA: 19:15 - loss: 0.4798 - accuracy: 0.7779For batch 23, loss is  0.3306.
 24/937 [..............................] - ETA: 18:59 - loss: 0.4736 - accuracy: 0.7817For batch 24, loss is  0.2886.
 25/937 [..............................] - ETA: 18:45 - loss: 0.4662 - accuracy: 0.7855For batch 25, loss is  0.2664.
 26/937 [..............................] - ETA: 18:31 - loss: 0.4585 - accuracy: 0.7904For batch 26, loss is  0.2647.
 27/937 [..............................] - ETA: 18:18 - loss: 0.4514 - accuracy: 0.7947For batch 27, loss is  0.2746.
 28/937 [..............................] - ETA: 18:06 - loss: 0.4450 - accuracy: 0.7980For batch 28, loss is  0.2568.
 29/937 [..............................] - ETA: 17:55 - loss: 0.4386 - accuracy: 0.8020For batch 29, loss is  0.2033.
 30/937 [..............................] - ETA: 17:44 - loss: 0.4307 - accuracy: 0.8064For batch 30, loss is  0.2473.
 31/937 [..............................] - ETA: 17:35 - loss: 0.4248 - accuracy: 0.8099For batch 31, loss is  0.2143.
 32/937 [>.............................] - ETA: 17:25 - loss: 0.4182 - accuracy: 0.8135For batch 32, loss is  0.1862.
 33/937 [>.............................] - ETA: 17:16 - loss: 0.4112 - accuracy: 0.8175For batch 33, loss is  0.1896.
 34/937 [>.............................] - ETA: 17:08 - loss: 0.4047 - accuracy: 0.8211For batch 34, loss is  0.1681.
 35/937 [>.............................] - ETA: 17:55 - loss: 0.3979 - accuracy: 0.8230For batch 35, loss is  0.1522.
 36/937 [>.............................] - ETA: 17:46 - loss: 0.3911 - accuracy: 0.8267For batch 36, loss is  0.1644.
 37/937 [>.............................] - ETA: 17:38 - loss: 0.3850 - accuracy: 0.8301For batch 37, loss is  0.1700.
 38/937 [>.............................] - ETA: 17:29 - loss: 0.3793 - accuracy: 0.8333For batch 38, loss is  0.1983.
 39/937 [>.............................] - ETA: 17:21 - loss: 0.3747 - accuracy: 0.8359For batch 39, loss is  0.1195.
 40/937 [>.............................] - ETA: 17:14 - loss: 0.3683 - accuracy: 0.8393For batch 40, loss is  0.1268.
 41/937 [>.............................] - ETA: 17:07 - loss: 0.3624 - accuracy: 0.8426For batch 41, loss is  0.1254.
 42/937 [>.............................] - ETA: 17:00 - loss: 0.3567 - accuracy: 0.8454For batch 42, loss is  0.1089.
 43/937 [>.............................] - ETA: 16:53 - loss: 0.3510 - accuracy: 0.8484For batch 43, loss is  0.0901.
 44/937 [>.............................] - ETA: 16:47 - loss: 0.3451 - accuracy: 0.8517For batch 44, loss is  0.1085.
 45/937 [>.............................] - ETA: 16:41 - loss: 0.3398 - accuracy: 0.8542For batch 45, loss is  0.0943.
 46/937 [>.............................] - ETA: 16:35 - loss: 0.3345 - accuracy: 0.8567For batch 46, loss is  0.0951.
 47/937 [>.............................] - ETA: 16:29 - loss: 0.3294 - accuracy: 0.8591For batch 47, loss is  0.1107.
 48/937 [>.............................] - ETA: 16:24 - loss: 0.3248 - accuracy: 0.8611For batch 48, loss is  0.1511.
 49/937 [>.............................] - ETA: 16:18 - loss: 0.3213 - accuracy: 0.8627For batch 49, loss is  0.0805.
 50/937 [>.............................] - ETA: 16:13 - loss: 0.3164 - accuracy: 0.8648For batch 50, loss is  0.0538.
 51/937 [>.............................] - ETA: 16:08 - loss: 0.3113 - accuracy: 0.8673For batch 51, loss is  0.1172.
 52/937 [>.............................] - ETA: 16:04 - loss: 0.3076 - accuracy: 0.8689For batch 52, loss is  0.1105.
 53/937 [>.............................] - ETA: 15:59 - loss: 0.3038 - accuracy: 0.8708For batch 53, loss is  0.0785.
 54/937 [>.............................] - ETA: 15:54 - loss: 0.2997 - accuracy: 0.8729For batch 54, loss is  0.0569.
 55/937 [>.............................] - ETA: 15:50 - loss: 0.2953 - accuracy: 0.8751For batch 55, loss is  0.0726.
 56/937 [>.............................] - ETA: 15:46 - loss: 0.2913 - accuracy: 0.8768For batch 56, loss is  0.0659.
 57/937 [>.............................] - ETA: 15:42 - loss: 0.2873 - accuracy: 0.8786For batch 57, loss is  0.0587.
 58/937 [>.............................] - ETA: 15:38 - loss: 0.2834 - accuracy: 0.8806For batch 58, loss is  0.0712.
 59/937 [>.............................] - ETA: 15:34 - loss: 0.2798 - accuracy: 0.8823For batch 59, loss is  0.0727.
 60/937 [>.............................] - ETA: 15:30 - loss: 0.2763 - accuracy: 0.8839For batch 60, loss is  0.0369.
 61/937 [>.............................] - ETA: 15:26 - loss: 0.2724 - accuracy: 0.8857For batch 61, loss is  0.0578.
 62/937 [>.............................] - ETA: 15:23 - loss: 0.2690 - accuracy: 0.8874For batch 62, loss is  0.0697.
 63/937 [=>............................] - ETA: 15:19 - loss: 0.2658 - accuracy: 0.8889For batch 63, loss is  0.0423.
 64/937 [=>............................] - ETA: 15:16 - loss: 0.2623 - accuracy: 0.8904For batch 64, loss is  0.0599.
 65/937 [=>............................] - ETA: 15:12 - loss: 0.2592 - accuracy: 0.8920For batch 65, loss is  0.0579.
 66/937 [=>............................] - ETA: 15:09 - loss: 0.2561 - accuracy: 0.8933For batch 66, loss is  0.0391.
 67/937 [=>............................] - ETA: 15:06 - loss: 0.2529 - accuracy: 0.8948For batch 67, loss is  0.0687.
 68/937 [=>............................] - ETA: 15:03 - loss: 0.2502 - accuracy: 0.8959For batch 68, loss is  0.0662.
 69/937 [=>............................] - ETA: 14:59 - loss: 0.2475 - accuracy: 0.8971For batch 69, loss is  0.0272.
 70/937 [=>............................] - ETA: 14:56 - loss: 0.2444 - accuracy: 0.8985For batch 70, loss is  0.0331.
 71/937 [=>............................] - ETA: 14:54 - loss: 0.2414 - accuracy: 0.8999For batch 71, loss is  0.0416.
 72/937 [=>............................] - ETA: 14:51 - loss: 0.2386 - accuracy: 0.9010For batch 72, loss is  0.0346.
 73/937 [=>............................] - ETA: 14:48 - loss: 0.2358 - accuracy: 0.9023For batch 73, loss is  0.0333.
 74/937 [=>............................] - ETA: 14:45 - loss: 0.2331 - accuracy: 0.9035For batch 74, loss is  0.0430.
 75/937 [=>............................] - ETA: 14:42 - loss: 0.2306 - accuracy: 0.9046For batch 75, loss is  0.0310.
 76/937 [=>............................] - ETA: 14:40 - loss: 0.2279 - accuracy: 0.9057For batch 76, loss is  0.0349.
 77/937 [=>............................] - ETA: 14:37 - loss: 0.2254 - accuracy: 0.9069For batch 77, loss is  0.0321.
 78/937 [=>............................] - ETA: 14:34 - loss: 0.2229 - accuracy: 0.9080For batch 78, loss is  0.0311.
 79/937 [=>............................] - ETA: 14:32 - loss: 0.2205 - accuracy: 0.9091For batch 79, loss is  0.0296.
 80/937 [=>............................] - ETA: 14:29 - loss: 0.2181 - accuracy: 0.9101For batch 80, loss is  0.0227.
 81/937 [=>............................] - ETA: 14:27 - loss: 0.2157 - accuracy: 0.9112For batch 81, loss is  0.0221.
 82/937 [=>............................] - ETA: 14:24 - loss: 0.2134 - accuracy: 0.9122For batch 82, loss is  0.0581.
 83/937 [=>............................] - ETA: 14:22 - loss: 0.2115 - accuracy: 0.9130For batch 83, loss is  0.0274.
 84/937 [=>............................] - ETA: 14:20 - loss: 0.2093 - accuracy: 0.9139For batch 84, loss is  0.0486.
 85/937 [=>............................] - ETA: 14:17 - loss: 0.2074 - accuracy: 0.9148For batch 85, loss is  0.0280.
 86/937 [=>............................] - ETA: 14:15 - loss: 0.2053 - accuracy: 0.9157For batch 86, loss is  0.0349.
 87/937 [=>............................] - ETA: 14:13 - loss: 0.2034 - accuracy: 0.9165For batch 87, loss is  0.0308.
 88/937 [=>............................] - ETA: 14:10 - loss: 0.2014 - accuracy: 0.9174For batch 88, loss is  0.0162.
 89/937 [=>............................] - ETA: 14:08 - loss: 0.1993 - accuracy: 0.9183For batch 89, loss is  0.0315.
 90/937 [=>............................] - ETA: 14:06 - loss: 0.1975 - accuracy: 0.9191For batch 90, loss is  0.0183.
 91/937 [=>............................] - ETA: 14:04 - loss: 0.1955 - accuracy: 0.9200For batch 91, loss is  0.0271.
 92/937 [=>............................] - ETA: 14:02 - loss: 0.1937 - accuracy: 0.9208For batch 92, loss is  0.0189.
 93/937 [=>............................] - ETA: 14:00 - loss: 0.1918 - accuracy: 0.9217For batch 93, loss is  0.0426.
 94/937 [==>...........................] - ETA: 13:58 - loss: 0.1902 - accuracy: 0.9225For batch 94, loss is  0.0250.
 95/937 [==>...........................] - ETA: 13:56 - loss: 0.1884 - accuracy: 0.9232For batch 95, loss is  0.0215.
 96/937 [==>...........................] - ETA: 13:54 - loss: 0.1867 - accuracy: 0.9240For batch 96, loss is  0.0250.
 97/937 [==>...........................] - ETA: 13:52 - loss: 0.1850 - accuracy: 0.9247For batch 97, loss is  0.0130.
 98/937 [==>...........................] - ETA: 13:50 - loss: 0.1833 - accuracy: 0.9255For batch 98, loss is  0.0131.
 99/937 [==>...........................] - ETA: 13:48 - loss: 0.1816 - accuracy: 0.9262For batch 99, loss is  0.0197.
100/937 [==>...........................] - ETA: 13:46 - loss: 0.1799 - accuracy: 0.9269For batch 100, loss is  0.0104.
101/937 [==>...........................] - ETA: 13:44 - loss: 0.1783 - accuracy: 0.9277For batch 101, loss is  0.0103.
102/937 [==>...........................] - ETA: 13:42 - loss: 0.1766 - accuracy: 0.9284For batch 102, loss is  0.0134.
103/937 [==>...........................] - ETA: 13:40 - loss: 0.1750 - accuracy: 0.9291For batch 103, loss is  0.0195.
104/937 [==>...........................] - ETA: 13:38 - loss: 0.1735 - accuracy: 0.9297For batch 104, loss is  0.0091.
105/937 [==>...........................] - ETA: 13:36 - loss: 0.1720 - accuracy: 0.9304For batch 105, loss is  0.0122.
106/937 [==>...........................] - ETA: 13:35 - loss: 0.1705 - accuracy: 0.9310For batch 106, loss is  0.0094.
107/937 [==>...........................] - ETA: 13:33 - loss: 0.1690 - accuracy: 0.9317For batch 107, loss is  0.0125.
108/937 [==>...........................] - ETA: 13:31 - loss: 0.1675 - accuracy: 0.9322For batch 108, loss is  0.0205.
109/937 [==>...........................] - ETA: 13:29 - loss: 0.1662 - accuracy: 0.9328For batch 109, loss is  0.0161.
110/937 [==>...........................] - ETA: 13:28 - loss: 0.1648 - accuracy: 0.9334For batch 110, loss is  0.0173.
111/937 [==>...........................] - ETA: 13:26 - loss: 0.1635 - accuracy: 0.9339For batch 111, loss is  0.0109.
112/937 [==>...........................] - ETA: 13:24 - loss: 0.1621 - accuracy: 0.9345For batch 112, loss is  0.0070.
113/937 [==>...........................] - ETA: 13:22 - loss: 0.1607 - accuracy: 0.9351For batch 113, loss is  0.0048.
114/937 [==>...........................] - ETA: 13:21 - loss: 0.1594 - accuracy: 0.9357For batch 114, loss is  0.0112.
115/937 [==>...........................] - ETA: 13:19 - loss: 0.1581 - accuracy: 0.9362For batch 115, loss is  0.0118.
116/937 [==>...........................] - ETA: 13:17 - loss: 0.1568 - accuracy: 0.9367For batch 116, loss is  0.0132.
117/937 [==>...........................] - ETA: 13:16 - loss: 0.1556 - accuracy: 0.9373For batch 117, loss is  0.0111.
118/937 [==>...........................] - ETA: 13:14 - loss: 0.1544 - accuracy: 0.9378For batch 118, loss is  0.0068.
119/937 [==>...........................] - ETA: 13:13 - loss: 0.1531 - accuracy: 0.9383For batch 119, loss is  0.0056.
120/937 [==>...........................] - ETA: 13:11 - loss: 0.1519 - accuracy: 0.9388For batch 120, loss is  0.0090.
121/937 [==>...........................] - ETA: 13:09 - loss: 0.1507 - accuracy: 0.9393For batch 121, loss is  0.0107.
122/937 [==>...........................] - ETA: 13:08 - loss: 0.1496 - accuracy: 0.9398For batch 122, loss is  0.0050.
123/937 [==>...........................] - ETA: 13:06 - loss: 0.1484 - accuracy: 0.9403For batch 123, loss is  0.0181.
124/937 [==>...........................] - ETA: 13:05 - loss: 0.1473 - accuracy: 0.9407For batch 124, loss is  0.0071.
125/937 [===>..........................] - ETA: 13:03 - loss: 0.1462 - accuracy: 0.9412For batch 125, loss is  0.0080.
126/937 [===>..........................] - ETA: 13:02 - loss: 0.1451 - accuracy: 0.9416For batch 126, loss is  0.0094.
127/937 [===>..........................] - ETA: 13:00 - loss: 0.1441 - accuracy: 0.9421For batch 127, loss is  0.0183.
128/937 [===>..........................] - ETA: 12:58 - loss: 0.1431 - accuracy: 0.9425For batch 128, loss is  0.0058.
129/937 [===>..........................] - ETA: 12:57 - loss: 0.1420 - accuracy: 0.9430For batch 129, loss is  0.0058.
130/937 [===>..........................] - ETA: 12:55 - loss: 0.1410 - accuracy: 0.9434For batch 130, loss is  0.0057.
131/937 [===>..........................] - ETA: 12:54 - loss: 0.1399 - accuracy: 0.9438For batch 131, loss is  0.0103.
132/937 [===>..........................] - ETA: 12:53 - loss: 0.1389 - accuracy: 0.9443For batch 132, loss is  0.0151.
133/937 [===>..........................] - ETA: 12:51 - loss: 0.1380 - accuracy: 0.9447For batch 133, loss is  0.0139.
134/937 [===>..........................] - ETA: 12:50 - loss: 0.1371 - accuracy: 0.9450For batch 134, loss is  0.0105.
135/937 [===>..........................] - ETA: 12:48 - loss: 0.1362 - accuracy: 0.9454For batch 135, loss is  0.0089.
136/937 [===>..........................] - ETA: 12:47 - loss: 0.1352 - accuracy: 0.9458For batch 136, loss is  0.0044.
137/937 [===>..........................] - ETA: 12:45 - loss: 0.1343 - accuracy: 0.9462For batch 137, loss is  0.0146.
138/937 [===>..........................] - ETA: 12:44 - loss: 0.1334 - accuracy: 0.9466For batch 138, loss is  0.0178.
139/937 [===>..........................] - ETA: 12:42 - loss: 0.1326 - accuracy: 0.9469For batch 139, loss is  0.0067.
140/937 [===>..........................] - ETA: 12:41 - loss: 0.1317 - accuracy: 0.9473For batch 140, loss is  0.0326.
141/937 [===>..........................] - ETA: 12:40 - loss: 0.1310 - accuracy: 0.9476For batch 141, loss is  0.0094.
142/937 [===>..........................] - ETA: 12:38 - loss: 0.1301 - accuracy: 0.9480For batch 142, loss is  0.0074.
143/937 [===>..........................] - ETA: 12:37 - loss: 0.1292 - accuracy: 0.9484For batch 143, loss is  0.0095.
144/937 [===>..........................] - ETA: 12:35 - loss: 0.1284 - accuracy: 0.9487For batch 144, loss is  0.0143.
145/937 [===>..........................] - ETA: 12:34 - loss: 0.1276 - accuracy: 0.9491For batch 145, loss is  0.0199.
146/937 [===>..........................] - ETA: 12:33 - loss: 0.1269 - accuracy: 0.9494For batch 146, loss is  0.0049.
147/937 [===>..........................] - ETA: 12:31 - loss: 0.1261 - accuracy: 0.9497For batch 147, loss is  0.0064.
148/937 [===>..........................] - ETA: 12:30 - loss: 0.1253 - accuracy: 0.9501For batch 148, loss is  0.0115.
149/937 [===>..........................] - ETA: 12:29 - loss: 0.1245 - accuracy: 0.9504For batch 149, loss is  0.0054.
150/937 [===>..........................] - ETA: 12:27 - loss: 0.1237 - accuracy: 0.9507For batch 150, loss is  0.0049.
151/937 [===>..........................] - ETA: 12:26 - loss: 0.1229 - accuracy: 0.9511For batch 151, loss is  0.0060.
152/937 [===>..........................] - ETA: 12:25 - loss: 0.1221 - accuracy: 0.9514For batch 152, loss is  0.0050.
153/937 [===>..........................] - ETA: 12:23 - loss: 0.1214 - accuracy: 0.9517For batch 153, loss is  0.0055.
154/937 [===>..........................] - ETA: 12:22 - loss: 0.1206 - accuracy: 0.9520For batch 154, loss is  0.0084.
155/937 [===>..........................] - ETA: 12:21 - loss: 0.1199 - accuracy: 0.9523For batch 155, loss is  0.0077.
156/937 [===>..........................] - ETA: 12:19 - loss: 0.1192 - accuracy: 0.9526For batch 156, loss is  0.0039.
157/937 [====>.........................] - ETA: 12:18 - loss: 0.1184 - accuracy: 0.9529For batch 157, loss is  0.0051.
158/937 [====>.........................] - ETA: 12:17 - loss: 0.1177 - accuracy: 0.9532For batch 158, loss is  0.0134.
159/937 [====>.........................] - ETA: 12:16 - loss: 0.1171 - accuracy: 0.9535For batch 159, loss is  0.0055.
160/937 [====>.........................] - ETA: 12:14 - loss: 0.1164 - accuracy: 0.9538For batch 160, loss is  0.0038.
161/937 [====>.........................] - ETA: 12:13 - loss: 0.1157 - accuracy: 0.9541For batch 161, loss is  0.0115.
162/937 [====>.........................] - ETA: 12:12 - loss: 0.1150 - accuracy: 0.9543For batch 162, loss is  0.0055.
163/937 [====>.........................] - ETA: 12:10 - loss: 0.1144 - accuracy: 0.9546For batch 163, loss is  0.0055.
164/937 [====>.........................] - ETA: 12:09 - loss: 0.1137 - accuracy: 0.9549For batch 164, loss is  0.0119.
165/937 [====>.........................] - ETA: 12:08 - loss: 0.1131 - accuracy: 0.9552For batch 165, loss is  0.0039.
166/937 [====>.........................] - ETA: 12:07 - loss: 0.1124 - accuracy: 0.9554For batch 166, loss is  0.0040.
167/937 [====>.........................] - ETA: 12:05 - loss: 0.1118 - accuracy: 0.9557For batch 167, loss is  0.0036.
168/937 [====>.........................] - ETA: 12:04 - loss: 0.1111 - accuracy: 0.9560For batch 168, loss is  0.0043.
169/937 [====>.........................] - ETA: 12:03 - loss: 0.1105 - accuracy: 0.9562For batch 169, loss is  0.0152.
170/937 [====>.........................] - ETA: 12:02 - loss: 0.1099 - accuracy: 0.9564For batch 170, loss is  0.0051.
171/937 [====>.........................] - ETA: 12:00 - loss: 0.1093 - accuracy: 0.9567For batch 171, loss is  0.0071.
172/937 [====>.........................] - ETA: 11:59 - loss: 0.1087 - accuracy: 0.9570For batch 172, loss is  0.0184.
173/937 [====>.........................] - ETA: 11:58 - loss: 0.1082 - accuracy: 0.9572For batch 173, loss is  0.0072.
174/937 [====>.........................] - ETA: 11:57 - loss: 0.1076 - accuracy: 0.9574For batch 174, loss is  0.0052.
175/937 [====>.........................] - ETA: 11:56 - loss: 0.1070 - accuracy: 0.9576For batch 175, loss is  0.0053.
176/937 [====>.........................] - ETA: 11:54 - loss: 0.1065 - accuracy: 0.9579For batch 176, loss is  0.0083.
177/937 [====>.........................] - ETA: 11:53 - loss: 0.1059 - accuracy: 0.9581For batch 177, loss is  0.0069.
178/937 [====>.........................] - ETA: 11:52 - loss: 0.1054 - accuracy: 0.9583For batch 178, loss is  0.0067.
179/937 [====>.........................] - ETA: 11:51 - loss: 0.1048 - accuracy: 0.9585For batch 179, loss is  0.0065.
180/937 [====>.........................] - ETA: 11:50 - loss: 0.1043 - accuracy: 0.9588For batch 180, loss is  0.0069.
181/937 [====>.........................] - ETA: 11:48 - loss: 0.1037 - accuracy: 0.9590For batch 181, loss is  0.0013.
182/937 [====>.........................] - ETA: 11:47 - loss: 0.1032 - accuracy: 0.9592For batch 182, loss is  0.0036.
183/937 [====>.........................] - ETA: 11:46 - loss: 0.1026 - accuracy: 0.9594For batch 183, loss is  0.0032.
184/937 [====>.........................] - ETA: 11:45 - loss: 0.1021 - accuracy: 0.9596For batch 184, loss is  0.0060.
185/937 [====>.........................] - ETA: 11:44 - loss: 0.1016 - accuracy: 0.9599For batch 185, loss is  0.0017.
186/937 [====>.........................] - ETA: 11:42 - loss: 0.1010 - accuracy: 0.9601For batch 186, loss is  0.0025.
187/937 [====>.........................] - ETA: 11:41 - loss: 0.1005 - accuracy: 0.9603For batch 187, loss is  0.0106.
188/937 [=====>........................] - ETA: 11:40 - loss: 0.1000 - accuracy: 0.9605For batch 188, loss is  0.0047.
189/937 [=====>........................] - ETA: 11:39 - loss: 0.0995 - accuracy: 0.9607For batch 189, loss is  0.0027.
190/937 [=====>........................] - ETA: 11:38 - loss: 0.0990 - accuracy: 0.9609For batch 190, loss is  0.0021.
191/937 [=====>........................] - ETA: 11:37 - loss: 0.0985 - accuracy: 0.9611For batch 191, loss is  0.0058.
192/937 [=====>........................] - ETA: 11:35 - loss: 0.0980 - accuracy: 0.9613For batch 192, loss is  0.0052.
193/937 [=====>........................] - ETA: 11:34 - loss: 0.0975 - accuracy: 0.9615For batch 193, loss is  0.0019.
194/937 [=====>........................] - ETA: 11:33 - loss: 0.0970 - accuracy: 0.9617For batch 194, loss is  0.0090.
195/937 [=====>........................] - ETA: 11:32 - loss: 0.0966 - accuracy: 0.9619For batch 195, loss is  0.0067.
196/937 [=====>........................] - ETA: 11:31 - loss: 0.0961 - accuracy: 0.9621For batch 196, loss is  0.0035.
197/937 [=====>........................] - ETA: 11:30 - loss: 0.0957 - accuracy: 0.9622For batch 197, loss is  0.0023.
198/937 [=====>........................] - ETA: 11:29 - loss: 0.0952 - accuracy: 0.9624For batch 198, loss is  0.0032.
199/937 [=====>........................] - ETA: 11:27 - loss: 0.0947 - accuracy: 0.9626For batch 199, loss is  0.0033.
200/937 [=====>........................] - ETA: 11:26 - loss: 0.0943 - accuracy: 0.9628For batch 200, loss is  0.0051.
201/937 [=====>........................] - ETA: 11:25 - loss: 0.0938 - accuracy: 0.9630For batch 201, loss is  0.0150.
202/937 [=====>........................] - ETA: 11:24 - loss: 0.0934 - accuracy: 0.9631For batch 202, loss is  0.0016.
203/937 [=====>........................] - ETA: 11:23 - loss: 0.0930 - accuracy: 0.9633For batch 203, loss is  0.0037.
204/937 [=====>........................] - ETA: 11:22 - loss: 0.0925 - accuracy: 0.9635For batch 204, loss is  0.0093.
205/937 [=====>........................] - ETA: 11:21 - loss: 0.0921 - accuracy: 0.9637For batch 205, loss is  0.0095.
206/937 [=====>........................] - ETA: 11:19 - loss: 0.0917 - accuracy: 0.9638For batch 206, loss is  0.0058.
207/937 [=====>........................] - ETA: 11:18 - loss: 0.0913 - accuracy: 0.9640For batch 207, loss is  0.0276.
208/937 [=====>........................] - ETA: 11:17 - loss: 0.0910 - accuracy: 0.9641For batch 208, loss is  0.0021.
209/937 [=====>........................] - ETA: 11:16 - loss: 0.0906 - accuracy: 0.9643For batch 209, loss is  0.0077.
210/937 [=====>........................] - ETA: 11:15 - loss: 0.0902 - accuracy: 0.9645For batch 210, loss is  0.0035.
211/937 [=====>........................] - ETA: 11:14 - loss: 0.0898 - accuracy: 0.9646For batch 211, loss is  0.0031.
212/937 [=====>........................] - ETA: 11:13 - loss: 0.0894 - accuracy: 0.9648For batch 212, loss is  0.0041.
213/937 [=====>........................] - ETA: 11:12 - loss: 0.0890 - accuracy: 0.9650For batch 213, loss is  0.0029.
214/937 [=====>........................] - ETA: 11:11 - loss: 0.0886 - accuracy: 0.9651For batch 214, loss is  0.0050.
215/937 [=====>........................] - ETA: 11:09 - loss: 0.0882 - accuracy: 0.9653For batch 215, loss is  0.0055.
216/937 [=====>........................] - ETA: 11:08 - loss: 0.0878 - accuracy: 0.9655For batch 216, loss is  0.0031.
217/937 [=====>........................] - ETA: 11:07 - loss: 0.0874 - accuracy: 0.9656For batch 217, loss is  0.0050.
218/937 [=====>........................] - ETA: 11:06 - loss: 0.0870 - accuracy: 0.9658For batch 218, loss is  0.0027.
219/937 [======>.......................] - ETA: 11:05 - loss: 0.0866 - accuracy: 0.9659For batch 219, loss is  0.0039.
220/937 [======>.......................] - ETA: 11:04 - loss: 0.0863 - accuracy: 0.9661For batch 220, loss is  0.0027.
221/937 [======>.......................] - ETA: 11:03 - loss: 0.0859 - accuracy: 0.9662For batch 221, loss is  0.0016.
222/937 [======>.......................] - ETA: 11:02 - loss: 0.0855 - accuracy: 0.9664For batch 222, loss is  0.0114.
223/937 [======>.......................] - ETA: 11:01 - loss: 0.0852 - accuracy: 0.9665For batch 223, loss is  0.0037.
224/937 [======>.......................] - ETA: 11:00 - loss: 0.0848 - accuracy: 0.9667For batch 224, loss is  0.0105.
225/937 [======>.......................] - ETA: 10:59 - loss: 0.0845 - accuracy: 0.9668For batch 225, loss is  0.0036.
226/937 [======>.......................] - ETA: 10:58 - loss: 0.0841 - accuracy: 0.9669For batch 226, loss is  0.0030.
227/937 [======>.......................] - ETA: 10:56 - loss: 0.0838 - accuracy: 0.9671For batch 227, loss is  0.0027.
228/937 [======>.......................] - ETA: 10:55 - loss: 0.0834 - accuracy: 0.9672For batch 228, loss is  0.0070.
229/937 [======>.......................] - ETA: 10:54 - loss: 0.0831 - accuracy: 0.9674For batch 229, loss is  0.0037.
230/937 [======>.......................] - ETA: 10:53 - loss: 0.0827 - accuracy: 0.9675For batch 230, loss is  0.0022.
231/937 [======>.......................] - ETA: 10:52 - loss: 0.0824 - accuracy: 0.9676For batch 231, loss is  0.0090.
232/937 [======>.......................] - ETA: 10:51 - loss: 0.0821 - accuracy: 0.9678For batch 232, loss is  0.0025.
233/937 [======>.......................] - ETA: 10:50 - loss: 0.0817 - accuracy: 0.9679For batch 233, loss is  0.0051.
234/937 [======>.......................] - ETA: 10:49 - loss: 0.0814 - accuracy: 0.9681For batch 234, loss is  0.0024.
235/937 [======>.......................] - ETA: 10:48 - loss: 0.0811 - accuracy: 0.9682For batch 235, loss is  0.0061.
236/937 [======>.......................] - ETA: 10:47 - loss: 0.0807 - accuracy: 0.9683For batch 236, loss is  0.0033.
237/937 [======>.......................] - ETA: 10:46 - loss: 0.0804 - accuracy: 0.9685For batch 237, loss is  0.0076.
238/937 [======>.......................] - ETA: 10:45 - loss: 0.0801 - accuracy: 0.9686For batch 238, loss is  0.0011.
239/937 [======>.......................] - ETA: 10:44 - loss: 0.0798 - accuracy: 0.9687For batch 239, loss is  0.0105.
240/937 [======>.......................] - ETA: 10:43 - loss: 0.0795 - accuracy: 0.9688For batch 240, loss is  0.0009.
